ID;FECHA;VIDEOJUEGO;GANADOR;CONTACTO
1;2025-11-01;LOL;G2 Esports;contact@g2esports.com
2;2025-11-01;VALORANT;KOI Team;info@koi.gg
3;2025-11-01;CSGO;Fnatic;manager@fnatic.com
4;2025-11-02;LOL;Team Vitality;hello@vitality.gg
5;2025-11-02;VALORANT;Team Heretics;info@heretics.com
6;2025-11-02;CSGO;MAD Lions;contact@madlions.com
7;2025-11-03;LOL;Rogue;info@rogue.gg
8;2025-11-03;VALORANT;SK Gaming;info@sk-gaming.com
9;2025-11-03;CSGO;Excel Esports;contact@xl.gg
10;2025-11-04;LOL;Team BDS;contact@teambds.ch
11;2025-11-04;VALORANT;Astralis;info@astralis.gg
12;2025-11-04;CSGO;Misfits Gaming;contact@misfitsgaming.gg
13;2025-11-05;LOL;Karmine Corp;contact@karminecorp.fr
14;2025-11-05;VALORANT;Team Liquid;info@teamliquid.com
15;2025-11-05;CSGO;Cloud9;info@cloud9.gg
16;2025-11-06;LOL;TSM;contact@tsm.gg
17;2025-11-06;VALORANT;Team Liquid;support@teamliquid.com
18;2025-11-06;CSGO;NRG Esports;contact@nrg.gg
19;2025-11-07;LOL;Sentinels;info@sentinels.gg
20;2025-11-07;VALORANT;LOUD;contato@loud.gg
21;2025-11-07;CSGO;Gen.G;contact@geng.gg
22;2025-11-08;LOL;T1;contact@t1.gg
23;2025-11-08;VALORANT;DRX;contact@drx.gg
24;2025-11-08;CSGO;EDward Gaming;contact@edg.gg
25;2025-11-09;LOL;Royal Never Give Up;contact@rng.gg
26;2025-11-09;VALORANT;FunPlus Phoenix;contact@fpx.gg
27;2025-11-09;CSGO;Invictus Gaming;contact@ig.gg
28;2025-11-10;LOL;LNG Esports;contact@lng.gg
29;2025-11-10;VALORANT;Top Esports;contact@tes.gg
30;2025-11-10;CSGO;JD Gaming;contact@jdg.gg
31;2025-11-11;LOL;G2 Esports;contact@g2esports.com
32;2025-11-11;LOL;Fnatic;manager@fnatic.com
33;2025-11-11;LOL;MAD Lions;contact@madlions.com
34;2025-11-12;VALORANT;KOI Team;info@koi.gg
35;2025-11-12;VALORANT;Team Heretics;info@heretics.com
36;2025-11-12;CSGO;Team Vitality;hello@vitality.gg
37;2025-11-13;CSGO;Astralis;info@astralis.gg
38;2025-11-13;LOL;T1;contact@t1.gg
39;2025-11-14;VALORANT;LOUD;contato@loud.gg
40;2025-11-14;CSGO;Cloud9;info@cloud9.gg
41;2025-11-15;LOL;G2 Esports;contact@g2esports.com
42;2025-11-15;LOL;T1;contact@t1.gg
43;2025-11-16;VALORANT;KOI Team;info@koi.gg
44;2025-11-16;CSGO;Fnatic;manager@fnatic.com
45;2025-11-17;LOL;G2 Esports;contact@g2esports.com
46;2025-11-17;LOL;T1;contact@t1.gg
47;2025-11-18;VALORANT;KOI Team;info@koi.gg
48;2025-11-18;CSGO;Fnatic;manager@fnatic.com
49;2025-11-19;LOL;G2 Esports;contact@g2esports.com
50;2025-11-20;LOL;NoExiste;n/a
